event_date,stock_code,corp_name,event_type,report_nm,prediction_direction,prediction_result,volume_reaction_label,event_day_volume,next_day_volume,avg_volume_20d_before,event_volume_ratio_20d,next_volume_ratio_20d,trading_volume_score_adjustment,trading_volume_adjustment_label,trading_volume_adjustment_reason
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,007980,TP,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,297591,238402,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
20260707,004380,삼익THK,major_shareholder_change,최대주주등소유주식변동신고서              ,volatile,pending,insufficient_volume_baseline,178206,145140,,,,0,neutral_volume_adjustment,Prediction direction was `volatile` and volume reaction label was `insufficient_volume_baseline`. Event-day volume ratio was N/A and next-day volume ratio was N/A. Trading volume score adjustment is 0. No meaningful volume-based volatility signal is observed.
